Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier,also_in_80_main
Prostaglandin D1,前列腺素D1,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C06438,HMDB0005102,7.5757617,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1329,-0.1194,0.3852,1.5327,1.6636,0.301924,0.692405,0.33131,0.9744,0.693051,0.403134,0.832421,3,True,0.1321,True,0.0061,0.214415,False,True
δ-12-Prostaglandin J2,δ-12-前列腺素J2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05958,HMDB0004238,8.0815701,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1438,-0.1411,0.4287,2.0576,2.2211,0.32249,0.692405,0.337931,0.9611,0.693051,0.382867,0.832421,1,True,0.1087,True,0.2442,0.442069,False,True
Arachidonic acid,花生四烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C00219,HMDB0001043,11.362623,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.0735,-0.2155,0.0684,14.9916,14.9383,0.309845,0.692405,0.342926,-0.9512,0.693051,0.635631,0.869889,2,True,-0.0501,True,0.3188,0.481327,False,True
"15-Hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid",15-羟基-5Z，8Z，11Z，13E-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C04742,HMDB0003876,9.9372759,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1096,-0.0919,0.3111,5.7415,5.8538,0.286303,0.692405,0.344934,0.9472,0.693051,0.607208,0.869889,2,True,0.0505,True,0.5391,0.58178,False,True
Prostaglandin D2,前列腺素D2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C00696,HMDB0001403,7.543435,"Cytoplasm,Extracellular,Membrane,Endoplasmicreticulum",165,-,False,↑(超重肥胖>正常),0.1433,-0.1363,0.4229,4.4994,4.6862,0.315175,0.692405,0.34563,0.9459,0.693051,0.361309,0.832421,0,False,0.1433,True,0.0,0.315175,True,True
Prostaglandin J2,前列腺素J2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05957,HMDB0002710,8.08226255,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1995,-0.1627,0.5617,1.8174,2.0532,0.280355,0.692405,0.347145,0.9429,0.693051,0.415596,0.832421,2,True,0.1223,True,0.3868,0.479478,False,True
"9,10-DiHydroxy-12Z-octadecenoic acid","9,10-二羟基-12Z- 十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14828,HMDB0004704,9.1681616,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0934,-0.099,0.2858,1.6211,1.7143,0.341563,0.692478,0.351273,0.9348,0.693051,0.327713,0.832421,2,True,0.0854,True,0.0855,0.366866,False,True
"7-Hydroxy-4Z,8E,10Z,13Z,16Z,19Z-docosahexaenoic acid",7-羟基-4Z，8E，10Z，13Z，16Z，19Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060050,10.1722045,Membrane,165,-,False,↑(超重肥胖>正常),0.1181,-0.1267,0.363,2.8822,2.9831,0.344309,0.692478,0.367135,0.9044,0.705286,0.194615,0.801625,4,True,0.1385,True,-0.1721,0.182097,False,True
"14,15-DiHydroxy-5Z,8Z,11Z-eicosatrienoic acid",14，15-双羟基-5Z，8Z，11Z-二十碳三烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,C14775,HMDB0002265,9.2741866,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.0618,-0.2053,0.0818,2.6945,2.6314,0.398922,0.725396,0.382316,-0.876,0.715616,0.334998,0.832421,1,True,-0.07,True,-0.134,0.337614,False,True
"12-Hydroxy-5,8,10,14,17-eicosapentaenoic acid","12-羟基-5,8,10,14,17-二十碳五烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,,HMDB0010202,9.68653425,Membrane,165,-,False,↑(超重肥胖>正常),0.1495,-0.2223,0.5214,4.5601,4.6757,0.430639,0.737603,0.404543,0.8357,0.738291,0.547258,0.869889,1,True,0.1095,True,0.2677,0.557332,False,True
"8-Hydroxy-9E,11Z,14Z-eicosatrienoic acid","8-羟基-9E,11Z,14Z-二十碳三烯酸",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosatrienoic acids,,HMDB0060052,10.273383,Membrane,165,-,False,↑(超重肥胖>正常),0.0711,-0.095,0.2372,3.2201,3.2948,0.401645,0.725396,0.435101,0.7824,0.749595,0.390898,0.832421,0,False,0.0711,True,0.0,0.401645,True,True
Leukotriene B4,白三烯B4,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Leukotrienes,C02165,HMDB0001085,8.95758923529412,"Cytoplasm,Extracellular,Membrane,Endoplasmicreticulum",165,-,False,↑(超重肥胖>正常),0.3068,-0.4855,1.0991,1.2716,1.5578,0.447861,0.737603,0.444496,0.7665,0.749595,0.268385,0.832421,0,False,0.3068,True,0.0,0.447861,True,False
"12,13-Epoxy-9Z-octadecenoic acid","12,13-环氧基-9Z-十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14826,HMDB0004702,10.1960685,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2911,-0.3976,0.9799,4.1827,4.6104,0.407414,0.725396,0.450146,0.757,0.749595,0.549696,0.869889,3,True,0.1087,True,0.6268,0.744871,False,True
15-Keto prostaglandin F2α,15-酮基-前列腺素F2α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05960,HMDB0004240,7.46162745,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0789,-0.1217,0.2794,3.1824,3.2387,0.440851,0.737603,0.451811,0.7542,0.749595,0.757193,0.936397,0,False,0.0789,True,0.0,0.440851,True,True
"13,14-Dihydro-15-keto Prostaglandin E1","13,14-二氢-15-酮基-前列腺素E1",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C22454,HMDB0244516,7.6809989375,,165,-,False,↑(超重肥胖>正常),0.2313,-0.375,0.8376,1.0737,1.4298,0.454687,0.737603,0.474436,0.717,0.765109,0.532741,0.869889,2,True,0.2968,True,-0.2833,0.287984,False,False
"12S-Hydroxy-5Z,8E,10E-heptadecatrienoic acid",12S-羟基-5Z，8E，10E--十七碳三烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C20388,HMDB0012535,9.2146717,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2752,-0.5099,1.0602,4.8953,5.0859,0.49208,0.772984,0.482124,0.7045,0.765109,0.564438,0.869889,4,True,0.4517,True,-0.6415,0.141639,False,True
α-Linolenic acid,α-亚麻酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C06427,HMDB0001388,11.091619,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.1069,-0.4159,0.2021,6.4055,6.3077,0.497675,0.772984,0.517394,-0.6488,0.79202,0.152023,0.801625,4,True,-0.1416,True,-0.3242,0.182794,False,True
"11β-13,14-Dihydro-15-keto prostaglandinF2α","11β-13,14-二氢-15-酮基-前列腺素F2α",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,7.78023745,,165,-,False,↑(超重肥胖>正常),0.1196,-0.3092,0.5484,2.554,2.6756,0.584587,0.791061,0.529455,0.6302,0.79202,0.281248,0.832421,4,True,0.1214,True,-0.0153,0.451935,False,True
"8-Hydroxy-4Z,6E,10Z,13Z,16Z,19Z-docosahexaenoic acid",8-羟基-4Z，6E，10Z，13Z，16Z，19Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060051,10.23252,Membrane,165,-,False,↓(超重肥胖<正常),-0.2729,-1.1224,0.5765,1.7776,1.619,0.528885,0.791061,0.53163,-0.6269,0.79202,0.867783,0.936397,0,False,-0.2729,True,0.0,0.528885,True,False
