Metabolite Name,Chinese Name,Class,Sub Class,Super Class,Direct Parent,KEGG ID,HMDB ID,Retention Time(min),Cellular Locations,n,tier,high_confidence,direction,log2FC,log2FC_CI_lo,log2FC_CI_hi,mean_log2_normal,mean_log2_overweight,p_ols_hc3,q_ols_hc3_bh,p_limma,t_limma,q_limma_bh,p_wilcoxon,q_wilcoxon_bh,n_outliers,outlier_removed,beta_after,direction_consistent,attenuation_pct,p_robust_ols,is_robust_to_outlier
"10-Hydroxy-4Z,7Z,11E,13Z,16Z,19Z-docosahexaenoic acid",10-羟基-4Z，7Z，11E，13Z，16Z，19Z-二十二碳六烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Very long-chain fatty acids,,HMDB0060037,10.0619805,Membrane,165,-,False,↑(超重肥胖>正常),0.1244,-0.121,0.3697,3.053,3.1842,0.320556,0.640719,0.294739,1.0512,0.668606,0.299609,0.794994,0,False,0.1244,True,0.0,0.320556,True
Conjugated linoleic acids,共轭亚油酸,Fatty Acyls,Lineolic acids and derivatives,Lipids and lipid-like molecules,Lineolic acids and derivatives,C04056,HMDB0005048,11.419844,Extracellular,165,-,False,↓(超重肥胖<正常),-0.0796,-0.2226,0.0635,13.3949,13.3347,0.275728,0.640719,0.305204,-1.0286,0.668606,0.523173,0.858837,2,True,-0.0566,True,0.288,0.429944,False
Thromboxane B3,血栓素B3,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Thromboxanes,,HMDB0005099,6.8573892,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.2775,-0.2354,0.7905,2.809,3.0389,0.288958,0.640719,0.308114,1.0224,0.668606,0.839085,0.938212,5,True,0.4007,True,-0.4438,0.025749,True
Anandamide,花生四烯酸乙醇胺,Organonitrogen compounds,Amines,Organic nitrogen compounds,N-acylethanolamines,C11695,HMDB0004080,10.8410015,"Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.137,-0.4249,0.1509,11.3463,11.2421,0.350982,0.640719,0.313463,-1.0111,0.668606,0.304752,0.794994,2,True,-0.1777,True,-0.2968,0.219701,False
"11β-13,14-Dihydro-15-keto prostaglandinF2α","11β-13,14-二氢-15-酮基-前列腺素F2α",Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,,,7.78023745,,165,-,False,↑(超重肥胖>正常),0.1831,-0.2034,0.5697,2.5322,2.7183,0.353155,0.640719,0.343167,0.9507,0.668606,0.282885,0.794994,5,True,0.1361,True,0.2571,0.339789,False
Arachidonic acid,花生四烯酸,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C00219,HMDB0001043,11.362623,Cytoplasm,165,-,False,↓(超重肥胖<正常),-0.0735,-0.2155,0.0684,14.9916,14.9383,0.309845,0.640719,0.343315,-0.9504,0.668606,0.635631,0.87986,2,True,-0.0501,True,0.3188,0.481327,False
"15-Hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid",15-羟基-5Z，8Z，11Z，13E-二十碳四烯酸,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Hydroxyeicosapentaenoic acids,C04742,HMDB0003876,9.9372759,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.1137,-0.0935,0.3208,5.7375,5.8542,0.282117,0.640719,0.3446,0.9479,0.668606,0.614904,0.87986,2,True,0.0509,True,0.5519,0.585183,False
Prostaglandin D2,前列腺素D2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C00696,HMDB0001403,7.543435,"Cytoplasm,Extracellular,Membrane,Endoplasmicreticulum",165,-,False,↑(超重肥胖>正常),0.1433,-0.1363,0.4229,4.4994,4.6862,0.315175,0.640719,0.345091,0.9469,0.668606,0.361309,0.794994,0,False,0.1433,True,0.0,0.315175,True
δ-12-Prostaglandin J2,δ-12-前列腺素J2,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C05958,HMDB0004238,8.0815701,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.135,-0.1446,0.4146,2.0673,2.2207,0.34404,0.640719,0.348661,0.9399,0.668606,0.384865,0.794994,1,True,0.1081,True,0.1989,0.441627,False
"9,10-DiHydroxy-12Z-octadecenoic acid","9,10-二羟基-12Z- 十八烯酸",Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,Long-chain fatty acids,C14828,HMDB0004704,9.1681616,"Extracellular,Membrane",165,-,False,↑(超重肥胖>正常),0.0934,-0.099,0.2858,1.6211,1.7143,0.341563,0.640719,0.351159,0.935,0.668606,0.327713,0.794994,2,True,0.0854,True,0.0855,0.366866,False
Prostaglandin F2α,前列腺素F2α,Fatty Acyls,Eicosanoids,Lipids and lipid-like molecules,Prostaglandins and related compounds,C00639,HMDB0001139,7.66287335,"Cytoplasm,Extracellular,Membrane",165,-,False,↓(超重肥胖<正常),-0.1365,-0.4554,0.1823,4.1579,4.0023,0.401359,0.640719,0.354089,-0.9294,0.668606,0.62523,0.87986,2,True,-0.0452,True,0.6692,0.656076,False
